time [µs]	Amp[V]	HF [V]	TGC [dB]
84,9	0,006	0,002	0,157
85,0	0,006	0,002	0,157
85,1	0,007	0,002	0,157
85,2	0,006	0,002	0,157
85,3	0,006	0,002	0,157
85,4	0,006	0,002	0,157
85,5	0,006	0,002	0,157
85,6	0,006	0,002	0,157
85,7	0,006	0,002	0,157
85,8	0,006	0,002	0,157
85,9	0,006	0,002	0,157
86,0	0,005	0,002	0,157
86,1	0,006	0,002	0,157
86,2	0,006	0,002	0,157
86,3	0,008	-0,006	0,157
86,4	0,009	0,002	0,157
86,5	0,009	0,002	0,157
86,6	0,009	0,002	0,157
86,7	0,008	0,002	0,157
86,8	0,008	-0,006	0,157
86,9	0,008	-0,006	0,157
87,0	0,010	0,002	0,157
87,1	0,012	0,010	0,157
87,2	0,013	0,010	0,157
87,3	0,014	0,002	0,157
87,4	0,013	-0,006	0,157
87,5	0,013	-0,014	0,157
87,6	0,012	-0,006	0,157
87,7	0,010	0,002	0,157
87,8	0,010	0,010	0,157
87,9	0,009	0,002	0,000
88,0	0,008	0,002	0,157
88,1	0,009	-0,006	0,157
88,2	0,010	-0,006	0,157
88,3	0,011	-0,006	0,157
88,4	0,012	0,010	0,157
88,5	0,013	0,002	0,157
88,6	0,012	0,002	0,157
88,7	0,011	0,002	0,157
88,8	0,010	-0,006	0,157
88,9	0,009	-0,006	0,157
89,0	0,009	0,002	0,157
89,1	0,010	0,002	0,157
89,2	0,010	0,002	0,157
89,3	0,009	0,002	0,157
89,4	0,009	0,002	0,157
89,5	0,009	0,002	0,157
89,6	0,009	0,002	0,157
89,7	0,009	0,002	0,157
89,8	0,009	0,002	0,157
89,9	0,009	0,002	0,157
90,0	0,009	0,002	0,157
90,1	0,009	0,002	0,157
90,2	0,009	0,002	0,157
90,3	0,009	0,002	0,157
90,4	0,009	0,002	0,157
90,5	0,009	0,002	0,157
90,6	0,009	0,002	0,157
90,7	0,010	0,002	0,157
90,8	0,010	0,002	0,157
90,9	0,010	0,002	0,157
91,0	0,010	0,002	0,157
91,1	0,010	0,002	0,157
91,2	0,010	0,002	0,157
91,3	0,011	0,002	0,157
91,4	0,012	0,002	0,157
91,5	0,012	0,002	0,157
91,6	0,010	-0,006	0,157
91,7	0,009	0,002	0,157
91,8	0,008	0,002	0,157
91,9	0,008	0,002	0,157
92,0	0,009	0,002	0,157
92,1	0,010	0,002	0,157
92,2	0,010	0,002	0,157
92,3	0,010	0,002	0,157
92,4	0,010	0,002	0,157
92,5	0,010	0,002	0,157
92,6	0,010	0,002	0,157
92,7	0,011	0,002	0,157
92,8	0,010	0,002	0,157
92,9	0,010	0,002	0,157
93,0	0,010	0,002	0,157
93,1	0,010	0,002	0,157
93,2	0,011	0,002	0,157
93,3	0,012	-0,006	0,157
93,4	0,012	-0,006	0,157
93,5	0,012	-0,006	0,157
93,6	0,012	0,002	0,157
93,7	0,013	0,002	0,157
93,8	0,014	0,002	0,157
93,9	0,014	-0,006	0,157
94,0	0,014	-0,006	0,157
94,1	0,013	0,002	0,157
94,2	0,012	0,002	0,157
94,3	0,011	0,002	0,157
94,4	0,012	0,002	0,157
94,5	0,013	-0,006	0,157
94,6	0,014	-0,006	0,157
94,7	0,015	-0,006	0,157
94,8	0,016	0,002	0,157
94,9	0,016	0,002	0,157
95,0	0,015	0,002	0,157
95,1	0,014	0,002	0,157
95,2	0,014	-0,006	0,157
95,3	0,015	-0,006	0,157
95,4	0,016	0,002	0,157
95,5	0,017	0,002	0,157
95,6	0,017	0,002	0,157
95,7	0,016	0,002	0,157
95,8	0,015	-0,006	0,157
95,9	0,015	-0,006	0,157
96,0	0,017	0,002	0,157
96,1	0,018	0,002	0,157
96,2	0,018	0,002	0,157
96,3	0,017	0,002	0,157
96,4	0,016	-0,006	0,000
96,5	0,016	-0,006	0,157
96,6	0,018	0,002	0,157
96,7	0,020	0,002	0,157
96,8	0,021	0,002	0,157
96,9	0,020	0,002	0,157
97,0	0,019	-0,006	0,000
97,1	0,017	0,002	0,157
97,2	0,017	0,002	0,157
97,3	0,018	0,002	0,157
97,4	0,019	0,002	0,157
97,5	0,020	0,002	0,157
97,6	0,020	0,002	0,157
97,7	0,020	0,002	0,157
97,8	0,021	0,002	0,157
97,9	0,022	0,002	0,157
98,0	0,022	0,002	0,157
98,1	0,022	0,002	0,157
98,2	0,022	0,002	0,157
98,3	0,023	0,002	0,157
98,4	0,025	0,002	0,157
98,5	0,025	0,002	0,157
98,6	0,025	0,002	0,157
98,7	0,024	0,002	0,157
98,8	0,024	0,002	0,157
98,9	0,027	0,002	0,157
99,0	0,029	0,002	0,157
99,1	0,030	0,002	0,157
99,2	0,028	0,002	0,157
99,3	0,026	0,002	0,157
99,4	0,028	0,002	0,157
99,5	0,032	0,002	0,157
99,6	0,036	0,002	0,157
99,7	0,036	0,002	0,157
99,8	0,032	0,002	0,157
99,9	0,029	0,002	0,157
